respondent_id,h1n1 vaccine,seasonal vaccine
26707,0.2227178,0.2227178
26708,0.047261493,0.047261493
26709,0.758304245,0.672550378
26710,0.773636273,0.915319315
26711,0.256806524,0.48488259
26712,0.774509322,0.915491408
26713,0.761694101,0.607542806
26714,0.297007718,0.227461609
26715,0.125880509,0.125880509
26716,0.629859953,0.905165652
26717,0.024735651,0.369911904
26718,0.334609457,0.472795169
26719,0.346944102,0.919014084
26720,0.130418272,0.14830163
26721,0.372777143,0.513844516
26722,0.173702846,0.072010126
26723,0.93824558,0.855851213
26724,0.46088383,0.652033457
26725,0.08450818,0.08450818
26726,0.037282474,0.030300042
26727,0.750678778,0.861761762
26728,0.509571634,0.509571634
26729,0.205341524,0.314853657
26730,0.087685562,0.145976372
26731,0.086274889,0.344984228
26732,0.221181808,0.082816545
26733,0.938227604,0.966301716
26734,0.903455981,0.437926007
26735,0.210780953,0.457900482
26736,0.156407084,0.156407084
26737,0.254134673,0.097742122
26738,0.803031658,0.878794591
26739,0.201315202,0.201315202
26740,0.333806941,0.137089901
26741,0.394759802,0.901436181
26742,0.41732025,0.469549548
26743,0.243063998,0.502483258
26744,0.137861016,0.613996628
26745,0.539898432,0.925767156
26747,0.265937925,0.265937925
26748,0.274076066,0.062903784
26749,0.270239381,0.621471289
26750,0.913006289,0.941286015
26751,0.696650019,0.696650019
26752,0.048163506,0.013667671
26753,0.693071994,0.693071994
26754,0.360070811,0.532988162
26755,0.316277359,0.31687663
26756,0.030986237,0.030986237
26757,0.64641927,0.54479813
26758,0.794194184,0.847031693
26759,0.114210443,0.186529038
26761,0.381560919,0.659924746
26762,0.389707897,0.864308213
26763,0.961407054,0.982064461
26764,0.938098685,0.966229279
26765,0.334517337,0.643262171
26766,0.239334148,0.150680081
26767,0.823833916,0.725039407
26768,0.019547258,0.344209037
26769,0.148420384,0.156135931
26770,0.339392276,0.648253596
26771,0.416245527,0.234059437
26772,0.165528646,0.384853605
26773,0.052591014,0.385107853
26774,0.154583344,0.396104983
26775,0.200437303,0.494923761
26777,0.618057318,0.923186462
26778,0.118478604,0.19291123
26779,0.145152889,0.592641822
26780,0.606513019,0.96177763
26781,0.284562939,0.517966428
26782,0.142261196,0.267157896
26783,0.238548115,0.357796098
26784,0.642776824,0.875522367
26786,0.383678942,0.259819785
26787,0.533124969,0.479534771
26788,0.565922875,0.936509393
26789,0.074367881,0.223727015
26790,0.212047909,0.32367984
26791,0.111199593,0.18200343
26792,0.381165701,0.785758694
26793,0.514616633,0.89315708
26794,0.893340009,0.893340009
26795,0.064163566,0.935932351
26796,0.17260815,0.062202348
26797,0.251569188,0.58466059
26798,0.592356792,0.145006467
26800,0.286386466,0.903612785
26801,0.375553244,0.327327609
26802,0.414110834,0.183489245
26803,0.142602133,0.142602133
26804,0.155609132,0.155609132
26805,0.084894924,0.342880363
26806,0.544317072,0.903774406
26808,0.584822383,0.532646161
26809,0.530190249,0.202894951
26810,0.073844244,0.123885305
26811,0.226609786,0.047023872
26812,0.306689365,0.699764733
26813,0.784418181,0.330229053
26814,0.213110561,0.512857532
26815,0.122384356,0.122384356
26816,0.068528434,0.157697452
26817,0.522020693,0.77548855
26818,0.061444738,0.281045079
26819,0.399065559,0.399065559
26820,0.298411702,0.256030444
26821,0.291498469,0.474187252
26822,0.428792369,0.691014594
26823,0.865722851,0.658809169
26824,0.322388701,0.630545856
26825,0.753985113,0.844971501
26826,0.344487452,0.746685158
26827,0.055603866,0.178167124
26828,0.740574687,0.601918287
26829,0.902644309,0.952977369
26830,0.367710914,0.764867022
26831,0.557047678,0.830570606
26832,0.304111646,0.832159149
26833,0.049929956,0.29609323
26834,0.198441302,0.437779734
26835,0.493009464,0.906306591
26836,0.54546967,0.680338117
26837,0.048176111,0.013913399
26838,0.413705242,0.413705242
26839,0.486535426,0.485151618
26840,0.116332979,0.116332979
26842,0.116598282,0.190104372
26843,0.053042079,0.009941957
26844,0.090002472,0.495927347
26845,0.401785229,0.611989045
26846,0.230540192,0.748767604
26847,0.298589768,0.106082403
26848,0.171577919,0.705184526
26849,0.335542123,0.628365877
26850,0.645327037,0.734866115
26851,0.067905862,0.067905862
26852,0.074904934,0.125567328
26853,0.744775497,0.480580368
26854,0.029275744,0.086637819
26855,0.753304457,0.876926218
26856,0.255701258,0.033383293
26857,0.602459935,0.157719238
26858,0.262704497,0.631251671
26859,0.121688159,0.146201561
26860,0.615050133,0.082624828
26861,0.140858999,0.060526994
26862,0.128028227,0.317111193
26863,0.536869171,0.431454987
26864,0.72399111,0.422375549
26865,0.040335404,0.040335404
26866,0.649823486,0.739221375
26867,0.198574476,0.175479608
26868,0.944773748,0.944773748
26869,0.160018531,0.375976009
26871,0.118760714,0.040869414
26872,0.10566701,0.444500358
26873,0.506739655,0.796427717
26874,0.116036708,0.116036708
26875,0.88753354,0.933313262
26877,0.224660944,0.132737162
26878,0.370875129,0.2484404
26879,0.024314278,0.024380074
26880,0.079394138,0.140021161
26881,0.056256093,0.056256093
26882,0.055874131,0.100501498
26883,0.11024017,0.180557217
26886,0.500261424,0.758950224
26887,0.905889079,0.905889079
26888,0.953878956,0.953878956
26889,0.106594634,0.106594634
26890,0.353537232,0.403309156
26891,0.574334774,0.574334774
26892,0.436054799,0.885227671
26893,0.199177448,0.199177448
26894,0.299183173,0.299183173
26895,0.323881079,0.872717567
26896,0.09329014,0.09329014
26897,0.160719476,0.428773522
26898,0.326111881,0.687720831
26899,0.144221756,0.071213027
26900,0.284207653,0.284207653
26901,0.033252663,0.253879339
26902,0.46552358,0.908101961
26903,0.479363191,0.057280947
26904,0.255797574,0.330303161
26905,0.877650064,0.800450065
26906,0.349474182,0.336008885
26907,0.112841798,0.589337099
26908,0.482622818,0.745802693
26909,0.099743629,0.270588341
26910,0.186491365,0.186491365
26911,0.052502726,0.094707429
26912,0.826789938,0.963994567
26913,0.929882214,0.881756312
26914,0.163684058,0.194781181
26915,0.391462279,0.698249339
26916,0.17625597,0.319868087
26917,0.02717229,0.011828626
26918,0.909843632,0.909843632
26919,0.659394879,0.659394879
26920,0.069751413,0.117370425
26921,0.522109698,0.874526166
26922,0.199307891,0.647706798
26924,0.848131477,0.87345422
26925,0.277665243,0.585316133
26926,0.604720508,0.501762696
26927,0.58243996,0.58243996
26929,0.128663453,0.128353248
26930,0.756156432,0.907471722
26931,0.398871646,0.398871646
26932,0.388472251,0.860262553
26933,0.302783799,0.734780092
26934,0.650706225,0.650706225
26935,0.340776163,0.478290217
26936,0.454498248,0.324729133
26937,0.731458251,0.731458251
26938,0.142000937,0.057574613
26939,0.045969713,0.030661533
26940,0.25017946,0.157975553
26941,0.227084432,0.443185868
26942,0.748146183,0.785932687
26943,0.426621826,0.636004801
26944,0.199260331,0.140084794
26945,0.555411582,0.606921842
26946,0.493305928,0.662595873
26948,0.041715345,0.062349965
26949,0.100540141,0.059290745
26951,0.299354433,0.299354433
26952,0.977274766,0.948532602
26954,0.167144783,0.167144783
26955,0.450483086,0.643095597
26957,0.274628669,0.883391042
26958,0.215080296,0.743700837
26959,0.063291463,0.175269097
26960,0.126417808,0.043986179
26961,0.666359225,0.529670223
26963,0.279022826,0.279022826
26964,0.21931314,0.257721976
26965,0.924270911,0.95595741
26968,0.187232795,0.825521893
26969,0.152990309,0.254293245
26970,0.731726469,0.431931392
26971,0.310166153,0.310166153
26972,0.01608558,0.028252822
26973,0.053504759,0.110246986
26974,0.268698524,0.268698524
26975,0.395257363,0.67274379
26976,0.957344242,0.559896855
26978,0.215096663,0.755615364
26979,0.583148808,0.668098056
26980,0.101083922,0.101083922
26981,0.28389267,0.282206402
26982,0.606631502,0.896628729
26983,0.614852763,0.614852763
26984,0.141263771,0.141263771
26985,0.028842002,0.070266655
26986,0.62901029,0.62901029
26987,0.161648497,0.161648497
26988,0.118178397,0.118178397
26989,0.500988872,0.760492628
26990,0.091000721,0.053432637
26991,0.576721767,0.576721767
26992,0.472362642,0.472362642
26993,0.424147783,0.863216162
26994,0.359550227,0.359550227
26995,0.52984435,0.424545084
26996,0.392518574,0.392518574
26997,0.02149478,0.064793678
26998,0.076171847,0.076171847
26999,0.607210256,0.465029014
27000,0.461235858,0.373027475
27001,0.332896683,0.760460507
27002,0.066067593,0.202401725
27003,0.073085227,0.042454158
27005,0.45619987,0.776847198
27006,0.950755744,0.930819865
27007,0.218717432,0.218717432
27008,0.224967487,0.049074826
27009,0.244813931,0.244813931
27010,0.277277679,0.20074128
27011,0.13012518,0.13012518
27012,0.592888682,0.606573116
27013,0.352827912,0.454384776
27014,0.04082843,0.298048581
27016,0.352619893,0.352619893
27017,0.730784129,0.730784129
27018,0.488127343,0.259825624
27019,0.961081043,0.968274915
27020,0.220007956,0.220007956
27021,0.232280781,0.503239853
27022,0.415531947,0.286164413
27023,0.264664534,0.190691097
27024,0.306631282,0.306631282
27025,0.050399545,0.016639827
27026,0.235723669,0.353583203
27027,0.242821993,0.761340716
27028,0.78013393,0.862876613
27029,0.118666094,0.297499013
27030,0.21009349,0.209634192
27031,0.454310439,0.7962382
27032,0.413298899,0.46542692
27033,0.519345199,0.784383362
27034,0.010250299,0.603971703
27035,0.256571317,0.256571317
27036,0.551692802,0.685778425
27037,0.761581521,0.761581521
27038,0.08975078,0.030396235
27039,0.956749874,0.92136567
27040,0.362400001,0.153053552
